"Désignation","Qté","PU","Montant (ariary)"
"GPS","1","","  980,000  "
"Sondeur","1","","  160,000  "
"Compresseur","1","","  9,000,000  "
"Moteur YAMAHA 25CV 4T","1","","  7,000,000  "
"Poire","1","","  50,000  "
"DELAH","","",""
"Sakafo ","2","","  10,000  "
"Chambre + sakafo + frais","","","  95,000  "
"Logistique TMV-FLPT","","","  25,000  "
"Congélateur 200-300L (Brunel)","1","",""
"Vedette XMC24 (non louée)","1","",""
"Fatana","","","  5,500  "
"Essai essence 5L + huile 5L + Tport moteur","5","","  42,000  "
"Huille moteur","","","  70,000  "
"Scotch","","","  6,500  "
"Calle moteur","","","  10,000  "
"Clés/Outils","","","  34,500  "
"T/port TNR-TMV (mercredi/lun)","2","  40,000  ","  80,000  "
"Sakafo an-dalana (aller-retour)","1","  20,000  ","  20,000  "
"Hebergement TMV (jeu/ven/sam/dim)","4.5","  55,000  ","  247,500  "
"Sakafo TMV (matin/midi/soir) jeu,ven,sam, dim, lun","5","  7,000  ","  35,000  "
"Déplacement TMV (bajaj)","20","  1,000  ","  20,000  "
"T/port TMV-FLPT (aller-retour)","2","  10,000  ","  20,000  "
"Sakafo FLPT (ven)","1","  11,000  ","  11,000  "
"Déplacement FLTP (essence)","","","  15,000  "
"Ecart","","","  403,000  "
"Batterie 80A SSOYDD","1","","  230,000  "
"Courroie 12.5x1900 Comp","1","","  30,000  "
"Huile 20W50 5L Comp","1","","  70,000  "
"Huile 15W50 4L Comp","1","","  130,000  "
"T/port + Logistique Flpt","","","  25,000  "
"","","",""
"Commission HIROKO","","","  859,000  "
"","","",""
"TOTAL INVEST","","","  19,684,000  "
